Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2022-06-29,79.550003,79.75,76.510002,77.989998,77.989998,104140900,AMD
2022-06-30,77.730003,78.910004,75.480003,76.470001,76.470001,105368600,AMD
2022-07-01,75.190002,75.449997,72.690002,73.669998,73.669998,87734200,AMD
2022-07-05,71.980003,75.209999,71.599998,75.199997,75.199997,95589000,AMD
2022-07-06,75.169998,76.279999,73.550003,75.349998,75.349998,85458900,AMD
2022-07-07,77.190002,79.989998,76.900002,79.300003,79.300003,83640900,AMD
2022-07-08,78.309998,80.470001,77.400002,79.349998,79.349998,83405900,AMD
2022-07-11,77.849998,78.290001,75.839996,76.949997,76.949997,76150300,AMD
2022-07-12,76.980003,77.440002,74.43,76.360001,76.360001,77873200,AMD
2022-07-13,74.940002,79.110001,74.480003,77.519997,77.519997,79355000,AMD
2022-07-14,78.230003,79.25,76,78.599998,78.599998,83493600,AMD
2022-07-15,79.360001,81.199997,77.900002,81.110001,81.110001,76050600,AMD
2022-07-18,82.209999,84.470001,80.940002,81.43,81.43,90464300,AMD
2022-07-19,82.760002,86.410004,82.190002,85.879997,85.879997,85047500,AMD
2022-07-20,85.389999,89.919998,85.080002,89.43,89.43,88348600,AMD
2022-07-21,89.599998,91.580002,88.220001,91.089996,91.089996,90449300,AMD
2022-07-22,90.199997,90.690002,87.040001,88.099998,88.099998,76989700,AMD
2022-07-25,86.57,87.599998,85.120003,87.540001,87.540001,70083000,AMD
2022-07-26,87,87.75,84.709999,85.25,85.25,69180400,AMD
2022-07-27,86.940002,90.620003,86.290001,89.82,89.82,78301600,AMD
2022-07-28,90.419998,92.220001,88.589996,91.669998,91.669998,79009200,AMD
2022-07-29,90.699997,94.809998,90.559998,94.470001,94.470001,76630700,AMD
2022-08-01,95.589996,98.389999,93.959999,96.779999,96.779999,96477500,AMD
2022-08-02,95.709999,100.919998,95.360001,99.290001,99.290001,116734100,AMD
2022-08-03,94.830002,98.769997,93.620003,98.089996,98.089996,131142000,AMD
2022-08-04,97.5,104.589996,97.260002,103.910004,103.910004,125855800,AMD
2022-08-05,101.050003,103.860001,100.980003,102.309998,102.309998,93859900,AMD
2022-08-08,100.059998,101.800003,97.989998,100.07,100.07,92606800,AMD
2022-08-09,97.949997,98.050003,93.669998,95.540001,95.540001,89473700,AMD
2022-08-10,98.449997,99.349998,95.610001,99.050003,99.050003,83416100,AMD
2022-08-11,99.93,102.370003,98,98.120003,98.120003,77516900,AMD
2022-08-12,99.199997,101.400002,98.480003,100.830002,100.830002,72316300,AMD
2022-08-15,100.510002,101.849998,99.800003,101.010002,101.010002,61327100,AMD
2022-08-16,100.839996,101.449997,98.32,100.199997,100.199997,60220700,AMD
2022-08-17,99.260002,99.639999,96.730003,98.269997,98.269997,63735600,AMD
2022-08-18,97.739998,101.07,96.730003,100.440002,100.440002,76059500,AMD
2022-08-19,98.669998,99.25,94.589996,95.949997,95.949997,67221700,AMD
2022-08-22,94.400002,95.019997,92.360001,92.839996,92.839996,61837300,AMD
2022-08-23,92.389999,94.440002,92.110001,92.489998,92.489998,52927000,AMD
2022-08-24,92.209999,93.379997,90.900002,92.730003,92.730003,56520400,AMD
2022-08-25,93.139999,97.57,93.139999,97.18,97.18,61016200,AMD
2022-08-26,96.290001,97.599998,91.120003,91.18,91.18,65552500,AMD
2022-08-29,90.050003,91.190002,88.260002,88.489998,88.489998,61142500,AMD
2022-08-30,90.059998,90.150002,85.339996,86.940002,86.940002,69087100,AMD
2022-08-31,86.279999,86.720001,83.720001,84.870003,84.870003,64991700,AMD
2022-09-01,82.349998,82.760002,78.519997,82.330002,82.330002,94854700,AMD
2022-09-02,83.32,83.650002,79.809998,80.239998,80.239998,84924400,AMD
2022-09-06,80.410004,80.889999,78.370003,78.720001,78.720001,68727300,AMD
2022-09-07,79.239998,80.25,77.739998,79.610001,79.610001,67891200,AMD
2022-09-08,80.029999,83.449997,79.239998,82.779999,82.779999,89089300,AMD
2022-09-09,84.029999,85.68,83.839996,85.449997,85.449997,68907700,AMD
2022-09-12,84.889999,85.349998,83.459999,84.639999,84.639999,71922500,AMD
2022-09-13,80.959999,81.470001,76.800003,77.029999,77.029999,80921200,AMD
2022-09-14,77.099998,78.080002,75.870003,77.449997,77.449997,71483000,AMD
2022-09-15,76.639999,77.970001,74.910004,76.660004,76.660004,81818000,AMD
2022-09-16,75.620003,76.82,74.68,76.510002,76.510002,75300200,AMD
2022-09-19,75.389999,77.339996,75.349998,76.769997,76.769997,64966900,AMD
2022-09-20,76.080002,76.580002,74.730003,75.25,75.25,51129100,AMD
2022-09-21,75.440002,78.410004,74.449997,74.480003,74.480003,82069700,AMD
2022-09-22,73.889999,74.290001,69.169998,69.5,69.5,101436900,AMD
2022-09-23,68,69.080002,66.82,67.959999,67.959999,87690000,AMD
2022-09-26,67.870003,68.739998,66.25,66.300003,66.300003,82898700,AMD
2022-09-27,67.900002,68.779999,66,67.169998,67.169998,94871800,AMD
2022-09-28,67.110001,68.800003,66.559998,68.360001,68.360001,72389500,AMD
2022-09-29,67.150002,67.199997,62.830002,64.139999,64.139999,102552400,AMD
2022-09-30,63.619999,65.910004,63.34,63.360001,63.360001,81664100,AMD
