,Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
0,2022-06-29,137.460007,140.669998,136.669998,139.229996,138.403564,66242400,AAPL
1,2022-06-30,137.25,138.369995,133.770004,136.720001,135.908478,98964500,AAPL
2,2022-07-01,136.039993,139.039993,135.660004,138.929993,138.105347,71051600,AAPL
3,2022-07-05,137.770004,141.610001,136.929993,141.559998,140.719727,73353800,AAPL
4,2022-07-06,141.350006,144.119995,141.080002,142.919998,142.071655,74064300,AAPL
5,2022-07-07,143.289993,146.550003,143.279999,146.350006,145.481308,66253700,AAPL
6,2022-07-08,145.259995,147.550003,145.0,147.039993,146.167191,64547800,AAPL
7,2022-07-11,145.669998,146.639999,143.779999,144.869995,144.010071,63141600,AAPL
8,2022-07-12,145.759995,148.449997,145.050003,145.860001,144.994202,77588800,AAPL
9,2022-07-13,142.990005,146.449997,142.119995,145.490005,144.626404,71185600,AAPL
10,2022-07-14,144.080002,148.949997,143.25,148.470001,147.588715,78140700,AAPL
11,2022-07-15,149.779999,150.860001,148.199997,150.169998,149.278625,76259900,AAPL
12,2022-07-18,150.740005,151.570007,146.699997,147.070007,146.197037,81420900,AAPL
13,2022-07-19,147.919998,151.229996,146.910004,151.0,150.103699,82982400,AAPL
14,2022-07-20,151.119995,153.720001,150.369995,153.039993,152.131577,64823400,AAPL
15,2022-07-21,154.5,155.570007,151.940002,155.350006,154.427887,65086600,AAPL
16,2022-07-22,155.389999,156.279999,153.410004,154.089996,153.175354,66675400,AAPL
17,2022-07-25,154.009995,155.039993,152.279999,152.949997,152.042099,53623900,AAPL
18,2022-07-26,152.259995,153.089996,150.800003,151.600006,150.70015,55138700,AAPL
19,2022-07-27,152.580002,157.330002,152.160004,156.789993,155.859314,78620700,AAPL
20,2022-07-28,156.979996,157.639999,154.410004,157.350006,156.416016,81378700,AAPL
21,2022-07-29,161.240005,163.630005,159.5,162.509995,161.545364,101786900,AAPL
22,2022-08-01,161.009995,163.589996,160.889999,161.509995,160.551315,67829400,AAPL
23,2022-08-02,160.100006,162.410004,159.630005,160.009995,159.060196,59907000,AAPL
24,2022-08-03,160.839996,166.589996,160.75,166.130005,165.14389,82507500,AAPL
25,2022-08-04,166.009995,167.190002,164.429993,165.809998,164.82579,55474100,AAPL
26,2022-08-05,163.210007,165.850006,163.0,165.350006,164.596832,56697000,AAPL
27,2022-08-08,166.369995,167.809998,164.199997,164.869995,164.119019,60276900,AAPL
28,2022-08-09,164.020004,165.820007,163.25,164.919998,164.168793,63135500,AAPL
29,2022-08-10,167.679993,169.339996,166.899994,169.240005,168.469131,70170500,AAPL
30,2022-08-11,170.059998,170.990005,168.190002,168.490005,167.722534,57149200,AAPL
31,2022-08-12,169.820007,172.169998,169.399994,172.100006,171.316101,68039400,AAPL
32,2022-08-15,171.520004,173.389999,171.350006,173.190002,172.401123,54091700,AAPL
33,2022-08-16,172.779999,173.710007,171.660004,173.029999,172.241852,56377100,AAPL
34,2022-08-17,172.770004,176.149994,172.570007,174.550003,173.754929,79542000,AAPL
35,2022-08-18,173.75,174.899994,173.119995,174.149994,173.356735,62290100,AAPL
36,2022-08-19,173.029999,173.740005,171.309998,171.520004,170.738724,70346300,AAPL
37,2022-08-22,169.690002,169.860001,167.139999,167.570007,166.806732,69026800,AAPL
38,2022-08-23,167.080002,168.710007,166.649994,167.229996,166.468277,54147100,AAPL
39,2022-08-24,167.320007,168.110001,166.25,167.529999,166.766907,53841500,AAPL
40,2022-08-25,168.779999,170.139999,168.350006,170.029999,169.255508,51218200,AAPL
41,2022-08-26,170.570007,171.050003,163.559998,163.619995,162.87471,78961000,AAPL
42,2022-08-29,161.149994,162.899994,159.820007,161.380005,160.644913,73314000,AAPL
43,2022-08-30,162.130005,162.559998,157.720001,158.910004,158.186172,77906200,AAPL
44,2022-08-31,160.309998,160.580002,157.139999,157.220001,156.503876,87991100,AAPL
45,2022-09-01,156.639999,158.419998,154.669998,157.960007,157.240494,74229900,AAPL
46,2022-09-02,159.75,160.360001,154.970001,155.809998,155.100281,76957800,AAPL
47,2022-09-06,156.470001,157.089996,153.690002,154.529999,153.826111,73714800,AAPL
48,2022-09-07,154.820007,156.669998,153.610001,155.960007,155.249603,87449600,AAPL
49,2022-09-08,154.639999,156.360001,152.679993,154.460007,153.756454,84923800,AAPL
50,2022-09-09,155.470001,157.820007,154.75,157.369995,156.653168,68028800,AAPL
51,2022-09-12,159.589996,164.259995,159.300003,163.429993,162.685577,104956000,AAPL
52,2022-09-13,159.899994,160.539993,153.369995,153.839996,153.139252,122656600,AAPL
53,2022-09-14,154.789993,157.100006,153.610001,155.309998,154.60257,87965400,AAPL
54,2022-09-15,154.649994,155.240005,151.380005,152.369995,151.675949,90481100,AAPL
55,2022-09-16,151.210007,151.350006,148.369995,150.699997,150.01355,162278800,AAPL
56,2022-09-19,149.309998,154.559998,149.100006,154.479996,153.776352,81474200,AAPL
57,2022-09-20,153.399994,158.080002,153.080002,156.899994,156.185318,107689800,AAPL
58,2022-09-21,157.339996,158.740005,153.600006,153.720001,153.019806,101696800,AAPL
59,2022-09-22,152.380005,154.470001,150.910004,152.740005,152.044266,86652500,AAPL
60,2022-09-23,151.190002,151.470001,148.559998,150.429993,149.744797,96029900,AAPL
61,2022-09-26,149.660004,153.770004,149.639999,150.770004,150.083252,93339400,AAPL
62,2022-09-27,152.740005,154.720001,149.949997,151.759995,151.068726,84442700,AAPL
63,2022-09-28,147.639999,150.639999,144.839996,149.839996,149.157486,146691400,AAPL
64,2022-09-29,146.100006,146.720001,140.679993,142.479996,141.830994,128138200,AAPL
65,2022-09-30,141.279999,143.100006,138.0,138.199997,137.570496,124925300,AAPL
66,2022-10-03,138.210007,143.070007,137.690002,142.449997,141.801147,114311700,AAPL
67,2022-10-04,145.029999,146.220001,144.259995,146.100006,145.434525,87830100,AAPL
68,2022-10-05,144.070007,147.380005,143.009995,146.399994,145.733139,79471000,AAPL
69,2022-10-06,145.809998,147.539993,145.220001,145.429993,144.767563,68402200,AAPL
70,2022-10-07,142.539993,143.100006,139.449997,140.089996,139.451889,85925600,AAPL
71,2022-10-10,140.419998,141.889999,138.570007,140.419998,139.780396,74899000,AAPL
72,2022-10-11,139.899994,141.350006,138.220001,138.979996,138.346954,77033700,AAPL
73,2022-10-12,139.130005,140.360001,138.160004,138.339996,137.709854,70433700,AAPL
74,2022-10-13,134.990005,143.589996,134.369995,142.990005,142.338684,113224000,AAPL
75,2022-10-14,144.309998,144.520004,138.190002,138.380005,137.74968,88598000,AAPL
76,2022-10-17,141.070007,142.899994,140.270004,142.410004,141.761337,85250900,AAPL
77,2022-10-18,145.490005,146.699997,140.610001,143.75,143.09523,99136600,AAPL
78,2022-10-19,141.690002,144.949997,141.5,143.860001,143.204727,61758300,AAPL
79,2022-10-20,143.020004,145.889999,142.649994,143.389999,142.736862,64522000,AAPL
80,2022-10-21,142.869995,147.850006,142.649994,147.270004,146.599197,86548600,AAPL
81,2022-10-24,147.190002,150.229996,146.0,149.449997,148.769257,75981900,AAPL
82,2022-10-25,150.089996,152.490005,149.360001,152.339996,151.646103,74732300,AAPL
83,2022-10-26,150.960007,151.990005,148.039993,149.350006,148.669724,88194300,AAPL
84,2022-10-27,148.070007,149.050003,144.130005,144.800003,144.140442,109180200,AAPL
85,2022-10-28,148.199997,157.5,147.820007,155.740005,155.030609,164762400,AAPL
86,2022-10-31,153.160004,154.240005,151.919998,153.339996,152.641525,97943200,AAPL
87,2022-11-01,155.080002,155.449997,149.130005,150.649994,149.963791,80379300,AAPL
88,2022-11-02,148.949997,152.169998,145.0,145.029999,144.369385,93604600,AAPL
89,2022-11-03,142.059998,142.800003,138.75,138.880005,138.247406,97918500,AAPL
90,2022-11-04,142.089996,142.669998,134.380005,138.380005,137.978195,140814800,AAPL
91,2022-11-07,137.110001,139.149994,135.669998,138.919998,138.516617,83374600,AAPL
92,2022-11-08,140.410004,141.429993,137.490005,139.5,139.09494,89908500,AAPL
93,2022-11-09,138.5,138.550003,134.589996,134.869995,134.478378,74917800,AAPL
94,2022-11-10,141.240005,146.869995,139.5,146.869995,146.443527,118854000,AAPL
95,2022-11-11,145.820007,150.009995,144.369995,149.699997,149.26532,93979700,AAPL
96,2022-11-14,148.970001,150.279999,147.429993,148.279999,147.849442,73374100,AAPL
97,2022-11-15,152.220001,153.589996,148.559998,150.039993,149.604324,89868300,AAPL
98,2022-11-16,149.130005,149.869995,147.289993,148.789993,148.357956,64218300,AAPL
99,2022-11-17,146.429993,151.479996,146.149994,150.720001,150.282349,80389400,AAPL
100,2022-11-18,152.309998,152.699997,149.970001,151.289993,150.850693,74829600,AAPL
101,2022-11-21,150.160004,150.369995,147.720001,148.009995,147.580231,58724100,AAPL
102,2022-11-22,148.130005,150.419998,146.929993,150.179993,149.743912,51804100,AAPL
103,2022-11-23,149.449997,151.830002,149.339996,151.070007,150.631348,58301400,AAPL
104,2022-11-25,148.309998,148.880005,147.119995,148.110001,147.679947,35195900,AAPL
105,2022-11-28,145.139999,146.639999,143.380005,144.220001,143.801239,69246000,AAPL
106,2022-11-29,144.289993,144.809998,140.350006,141.169998,140.760086,83763800,AAPL
107,2022-11-30,141.399994,148.720001,140.550003,148.029999,147.600174,111380900,AAPL
108,2022-12-01,148.210007,149.130005,146.610001,148.309998,147.879349,71250400,AAPL
109,2022-12-02,145.960007,148.0,145.649994,147.809998,147.380814,65447400,AAPL
110,2022-12-05,147.770004,150.919998,145.770004,146.630005,146.204239,68826400,AAPL
111,2022-12-06,147.070007,147.300003,141.919998,142.910004,142.495041,64727200,AAPL
112,2022-12-07,142.190002,143.369995,140.0,140.940002,140.530762,69721100,AAPL
113,2022-12-08,142.360001,143.520004,141.100006,142.649994,142.235794,62128300,AAPL
114,2022-12-09,142.339996,145.570007,140.899994,142.160004,141.747208,76097000,AAPL
115,2022-12-12,142.699997,144.5,141.059998,144.490005,144.07045,70462700,AAPL
116,2022-12-13,149.5,149.970001,144.240005,145.470001,145.047607,93886200,AAPL
117,2022-12-14,145.350006,146.660004,141.160004,143.210007,142.794174,82291200,AAPL
118,2022-12-15,141.110001,141.800003,136.029999,136.5,136.103653,98931900,AAPL
119,2022-12-16,136.690002,137.649994,133.729996,134.509995,134.119431,160156900,AAPL
120,2022-12-19,135.110001,135.199997,131.320007,132.369995,131.985626,79592600,AAPL
121,2022-12-20,131.389999,133.25,129.889999,132.300003,131.915848,77432800,AAPL
122,2022-12-21,132.979996,136.809998,132.75,135.449997,135.056702,85928000,AAPL
123,2022-12-22,134.350006,134.559998,130.300003,132.229996,131.846039,77852100,AAPL
124,2022-12-23,130.919998,132.419998,129.639999,131.860001,131.477127,63814900,AAPL
125,2022-12-27,131.380005,131.410004,128.720001,130.029999,129.652435,69007800,AAPL
126,2022-12-28,129.669998,131.029999,125.870003,126.040001,125.674019,85438400,AAPL
127,2022-12-29,127.989998,130.479996,127.730003,129.610001,129.233658,75703700,AAPL
128,2022-12-30,128.410004,129.949997,127.43,129.929993,129.552719,77034200,AAPL
129,2023-01-03,130.279999,130.899994,124.169998,125.07,124.706833,112117500,AAPL
130,2023-01-04,126.889999,128.660004,125.080002,126.360001,125.993095,89113600,AAPL
131,2023-01-05,127.129997,127.769997,124.760002,125.019997,124.656982,80962700,AAPL
132,2023-01-06,126.010002,130.289993,124.889999,129.619995,129.243622,87754700,AAPL
133,2023-01-09,130.470001,133.410004,129.889999,130.149994,129.772079,70790800,AAPL
134,2023-01-10,130.259995,131.259995,128.119995,130.729996,130.350403,63896200,AAPL
135,2023-01-11,131.25,133.509995,130.460007,133.490005,133.102386,69458900,AAPL
136,2023-01-12,133.880005,134.259995,131.440002,133.410004,133.022614,71379600,AAPL
137,2023-01-13,132.029999,134.919998,131.660004,134.759995,134.368698,57809700,AAPL
138,2023-01-17,134.830002,137.289993,134.130005,135.940002,135.545273,63646600,AAPL
139,2023-01-18,136.820007,138.610001,135.029999,135.210007,134.817398,69672800,AAPL
140,2023-01-19,134.080002,136.25,133.770004,135.270004,134.877228,58280400,AAPL
141,2023-01-20,135.279999,138.020004,134.220001,137.869995,137.469666,80223600,AAPL
142,2023-01-23,138.119995,143.320007,137.899994,141.110001,140.700256,81760300,AAPL
143,2023-01-24,140.309998,143.160004,140.300003,142.529999,142.116135,66435100,AAPL
144,2023-01-25,140.889999,142.429993,138.809998,141.860001,141.448074,65799300,AAPL
145,2023-01-26,143.169998,144.25,141.899994,143.960007,143.541992,54105100,AAPL
146,2023-01-27,143.160004,147.229996,143.080002,145.929993,145.506256,70555800,AAPL
147,2023-01-30,144.960007,145.550003,142.850006,143.0,142.584778,64015300,AAPL
148,2023-01-31,142.699997,144.339996,142.279999,144.289993,143.871017,65874500,AAPL
149,2023-02-01,143.970001,146.610001,141.320007,145.429993,145.007706,77663600,AAPL
150,2023-02-02,148.899994,151.179993,148.169998,150.820007,150.382065,118339000,AAPL
151,2023-02-03,148.029999,157.380005,147.830002,154.5,154.051376,154357300,AAPL
152,2023-02-06,152.570007,153.100006,150.779999,151.729996,151.289429,69858300,AAPL
153,2023-02-07,150.639999,155.229996,150.639999,154.649994,154.200943,83322600,AAPL
154,2023-02-08,153.880005,154.580002,151.169998,151.919998,151.478882,64120100,AAPL
155,2023-02-09,153.779999,154.330002,150.419998,150.869995,150.431915,56007100,AAPL
156,2023-02-10,149.460007,151.339996,149.220001,151.009995,150.801407,57450700,AAPL
157,2023-02-13,150.949997,154.259995,150.919998,153.850006,153.637497,62199000,AAPL
158,2023-02-14,152.119995,153.770004,150.860001,153.199997,152.988388,61707600,AAPL
