,Date,AAPL,AMD,AMZN,GOOG,IBM,INTC,LCID,META,MSFT,TSLA
79,2022-10-20,64522000,79552600,48795100,0,13623100,0,0,0,21811000,0
80,2022-10-21,86548600,95366400,55660500,28988700,7201300,53058700,17222200,46348600,26299700,75713800
81,2022-10-24,75981900,76305400,0,24680800,5610900,43831600,0,63563400,24911200,100446800
82,2022-10-25,74732300,85501900,50934600,29910200,5957600,32205300,22487600,38433200,34775500,96507900
83,2022-10-26,0,79761600,0,0,5139000,37111100,15071200,0,82543200,85012500
84,2022-10-27,0,0,0,0,0,0,0,0,0,0
85,2022-10-28,164762400,78198600,223133400,35696900,5965500,91695700,12837100,0,40647700,69152400
86,2022-10-31,97943200,0,0,0,4915300,0,24662300,0,0,61554300
87,2022-11-01,0,0,0,0,0,0,0,110189600,0,0
88,2022-11-02,0,0,0,0,0,0,0,0,0,0
89,2022-11-03,0,95279900,0,0,0,0,10715300,0,0,56538800
90,2022-11-04,0,0,0,40173300,4178000,43051900,0,55638100,36789100,0
91,2022-11-07,83374600,62722500,0,26899900,4043100,34389800,0,81987300,33498000,0
92,2022-11-08,0,0,0,0,5042800,0,0,52088300,28192500,0
93,2022-11-09,0,0,0,0,0,0,0,0,0,0
94,2022-11-10,118854000,107996300,173414900,42371200,5389000,62943900,42963100,80671000,46268000,132703000
95,2022-11-11,93979700,111709500,111590500,30569100,5871300,49826500,29191500,59961700,34620200,114403600
96,2022-11-14,0,0,0,24170100,5293500,39395300,0,53395000,0,0
97,2022-11-15,0,0,0,31831000,4727100,0,0,50670500,0,0
98,2022-11-16,0,0,87958800,24660200,3445200,0,0,0,0,0
99,2022-11-17,80389400,82320800,0,21818700,3954000,31983300,18377400,35093800,23123500,0
100,2022-11-18,0,0,0,0,4661700,0,0,0,0,0
101,2022-11-21,0,51536300,0,0,0,0,0,0,26394700,0
102,2022-11-22,51804100,55450200,62192000,18868900,7062100,25584100,0,29029000,19665700,78452300
103,2022-11-23,58301400,81623600,59414700,17568900,0,0,18478600,21343100,19508500,109536700
104,2022-11-25,0,0,0,0,2075200,0,0,12007600,9200800,0
105,2022-11-28,0,0,74943100,0,0,0,0,0,0,92905200
106,2022-11-29,0,0,0,0,2754700,24361500,0,0,0,0
107,2022-11-30,111380900,88468400,102805800,39888100,6377600,72072500,69551900,43348600,47594200,109186400
108,2022-12-01,71250400,0,0,0,0,0,0,36551400,26041500,0
109,2022-12-02,65447400,0,0,18821500,2900000,31546000,27456300,39950500,21528500,73645900
110,2022-12-05,0,0,0,19955500,0,0,0,35474900,0,0
111,2022-12-06,0,0,0,0,2847600,0,0,0,0,0
112,2022-12-07,0,59180100,68086900,0,0,28239900,23903900,29461100,0,0
113,2022-12-08,62128300,56734100,73305900,0,0,28486100,24855900,0,22611800,97624500
114,2022-12-09,0,0,67398500,0,0,0,43064600,26033400,20609700,104872300
115,2022-12-12,70462700,60968300,61999800,27380900,4032800,35117900,0,0,30665100,0
116,2022-12-13,0,0,0,0,8811500,0,0,0,0,0
117,2022-12-14,0,0,0,0,0,0,0,36922000,35410900,0
118,2022-12-15,0,0,0,0,0,0,0,0,0,122334500
119,2022-12-16,0,0,0,0,0,0,0,0,0,0
120,2022-12-19,0,0,0,0,0,0,0,0,0,0
121,2022-12-20,77432800,52431300,0,21976800,5156500,0,0,28742500,25150800,0
122,2022-12-21,85928000,44167600,59267200,20336400,3793700,28100900,0,20392800,23690600,0
123,2022-12-22,0,0,0,0,0,0,0,0,0,0
124,2022-12-23,63814900,45923000,57433700,17815000,2092500,23600900,0,17796600,21207000,0
125,2022-12-27,0,0,0,0,2742400,29548100,0,0,0,0
126,2022-12-28,0,39526500,0,0,0,0,27973100,0,0,221070500
127,2022-12-29,75703700,41428500,54995900,18280700,2337200,30944800,26601600,22366200,19770700,221923300
128,2022-12-30,77034200,37127000,62401200,19190300,2858000,31030100,22489800,19583800,21938500,157777300
129,2023-01-03,0,0,76706000,0,3338600,0,0,35528500,0,0
130,2023-01-04,0,0,0,0,3869200,37665200,26173400,0,0,180389000
131,2023-01-05,0,0,0,0,0,33552600,0,25447100,0,0
132,2023-01-06,87754700,70161300,83303400,26612600,3574000,31788600,24539300,27584500,43613600,220911100
133,2023-01-09,0,69741300,0,0,0,37493200,27342000,0,27369800,190284000
134,2023-01-10,63896200,41149600,67756600,22855600,2152100,23008100,25980600,28684400,27033900,0
135,2023-01-11,69458900,44470100,103126200,25998800,3268700,30375400,44543100,25423000,28669300,183810800
136,2023-01-12,0,70066200,0,0,2715900,28963900,0,30757700,27269500,169400900
137,2023-01-13,57809700,45757400,85549400,18630700,2455700,31361900,29230400,22423800,21333300,180714100
138,2023-01-17,63646600,42621300,0,0,0,0,0,0,29831300,186477000
139,2023-01-18,0,0,0,0,0,0,0,0,0,0
140,2023-01-19,58280400,0,0,28707700,4833900,0,0,28625200,0,0
141,2023-01-20,80223600,47757600,67481500,53704800,0,35158500,20804200,28688600,35389800,138858100
142,2023-01-23,81760300,84293200,0,31791800,5898400,38795800,37913500,27470100,31934000,203119200
143,2023-01-24,66435100,60822600,0,0,4407600,0,0,21970200,0,158699100
144,2023-01-25,65799300,49932600,94261600,0,7347500,28268000,22676500,26622000,66526600,192734300
