Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2022-06-29,37.540001,37.599998,37.02,37.290001,35.840076,25437200,INTC
2022-06-30,37.209999,38,36.73,37.41,35.955414,35141000,INTC
2022-07-01,37.09,37.200001,35.880001,36.34,34.927017,40596300,INTC
2022-07-05,35.93,36.740002,35.540001,36.689999,35.263405,33215000,INTC
2022-07-06,36.82,37.419998,36.459999,36.990002,35.551746,26258300,INTC
2022-07-07,37.889999,38.330002,37.73,38.139999,36.657032,33165400,INTC
2022-07-08,37.66,38.139999,37.389999,37.990002,36.512859,22566300,INTC
2022-07-11,37.66,37.669998,37.029999,37.200001,35.753582,25904300,INTC
2022-07-12,37.650002,37.700001,36.990002,37.209999,35.763191,30546300,INTC
2022-07-13,36.68,37.43,36.619999,37.209999,35.763191,27059200,INTC
2022-07-14,36.990002,38.16,36.290001,37.709999,36.243752,36690700,INTC
2022-07-15,38.27,38.669998,37.73,38.619999,37.118366,32892300,INTC
2022-07-18,39.099998,39.34,38.529999,38.709999,37.204865,30814400,INTC
2022-07-19,39.32,40.73,39.240002,40.220001,38.656158,53095300,INTC
2022-07-20,40.209999,40.669998,39.560001,40.560001,38.982937,36387900,INTC
2022-07-21,40.509998,40.650002,39.82,40.610001,39.030991,29661200,INTC
2022-07-22,40.369999,40.509998,38.939999,39.200001,37.675816,41350000,INTC
2022-07-25,39.279999,39.41,38.549999,39.16,37.637371,32263400,INTC
2022-07-26,39.099998,39.57,38.880001,38.959999,37.445148,35925500,INTC
2022-07-27,39.27,40.419998,39.23,40.18,38.61771,42571600,INTC
2022-07-28,40.09,40.119999,39.040001,39.709999,38.165985,56662300,INTC
2022-07-29,35.599998,36.619999,35.240002,36.310001,34.89819,125292400,INTC
2022-08-01,36.049999,37.689999,36.049999,36.959999,35.522911,52513400,INTC
2022-08-02,36.59,36.66,36,36.009998,34.609848,53929400,INTC
2022-08-03,36.09,36.59,35.259998,36.52,35.100021,59513900,INTC
2022-08-04,36.009998,36.099998,35.360001,35.66,34.619465,54046300,INTC
2022-08-05,35.349998,35.689999,35.18,35.389999,34.357338,40205100,INTC
2022-08-08,35.360001,35.959999,35.200001,35.380001,34.347633,41534600,INTC
2022-08-09,35.220001,35.299999,34.400002,34.52,33.512726,48202300,INTC
2022-08-10,34.990002,35.400002,34.59,35.369999,34.337925,42243300,INTC
2022-08-11,35.639999,36.290001,35.490002,35.59,34.551506,35569700,INTC
2022-08-12,35.799999,36.139999,35.669998,36.110001,35.056332,37675200,INTC
2022-08-15,36.099998,36.43,35.709999,36.34,35.279625,25400600,INTC
2022-08-16,36.16,36.580002,35.700001,36.189999,35.133995,25000200,INTC
2022-08-17,35.810001,36.080002,35.27,35.779999,34.735958,29176100,INTC
2022-08-18,35.68,36.330002,35.57,36.200001,35.143707,24598200,INTC
2022-08-19,35.799999,36.029999,35.189999,35.380001,34.347633,31425500,INTC
2022-08-22,35,35.060001,33.73,33.84,32.85257,51006100,INTC
2022-08-23,33.98,34.389999,33.91,33.950001,32.959362,30687100,INTC
2022-08-24,33.970001,33.990002,33.599998,33.860001,32.871986,25105700,INTC
2022-08-25,33.869999,34.93,33.82,34.889999,33.871933,29799100,INTC
2022-08-26,34.950001,35.029999,33.349998,33.360001,32.386581,44851500,INTC
2022-08-29,33.23,33.41,32.810001,32.939999,31.978832,32976800,INTC
