Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2023-03-27,8.3,8.3,8.09,8.14,8.14,11530800,LCID
2023-03-28,8.11,8.239,7.41,7.55,7.55,20200200,LCID
2023-03-29,7.65,7.73,7.17,7.7,7.7,30158000,LCID
2023-03-30,7.77,7.88,7.6,7.62,7.62,11085700,LCID
2023-03-31,7.68,8.2,7.565,8.04,8.04,19553600,LCID
2023-04-03,7.95,8.058,7.645,7.9,7.9,12010100,LCID
2023-04-04,7.93,8,7.65,7.9,7.9,11125800,LCID
2023-04-05,7.78,7.79,7.52,7.7,7.7,10999800,LCID
2023-04-06,7.63,7.87,7.481,7.7,7.7,8154600,LCID
2023-04-10,7.6,8.07,7.43,8.03,8.03,11520900,LCID
2023-04-11,8.08,8.685,8.06,8.46,8.46,20643700,LCID
2023-04-12,8.64,8.87,8.06,8.13,8.13,14102300,LCID
2023-04-13,8.17,8.38,8.16,8.25,8.25,10570600,LCID
2023-04-14,7.67,7.765,7.45,7.73,7.73,30486200,LCID
2023-04-17,7.73,7.965,7.585,7.95,7.95,13650500,LCID
2023-04-18,8.02,8.08,7.75,7.83,7.83,10167400,LCID
2023-04-19,7.65,7.7,7.48,7.62,7.62,16219500,LCID
2023-04-20,7.331,7.53,7.031,7.07,7.07,22642300,LCID
2023-04-21,7.13,7.13,6.86,7.03,7.03,13171900,LCID
2023-04-24,7.04,7.22,6.96,7,7,10872300,LCID
2023-04-25,6.91,6.96,6.635,6.74,6.74,17767700,LCID
2023-04-26,6.84,7.84,6.73,7.22,7.22,33362500,LCID
2023-04-27,7.34,8.28,7.33,8.17,8.17,33947100,LCID
2023-04-28,7.95,8.07,7.749,7.94,7.94,15816400,LCID
2023-05-01,7.94,7.94,7.29,7.32,7.32,15072500,LCID
2023-05-02,7.36,7.43,7.1,7.27,7.27,13079600,LCID
2023-05-03,7.27,7.65,7.205,7.41,7.41,12392100,LCID
2023-05-04,7.465,7.54,7.255,7.38,7.38,9703700,LCID
2023-05-05,7.5,7.82,7.46,7.73,7.73,16456500,LCID
2023-05-08,7.75,7.8,7.26,7.71,7.71,29869400,LCID
2023-05-09,6.91,7.35,6.85,7.28,7.28,29222500,LCID
2023-05-10,7.365,7.46,7.15,7.16,7.16,18580400,LCID
2023-05-11,7.16,7.29,6.95,7.06,7.06,15402300,LCID
